Edrude_ind 		 Edrude_dhf
     -0.00003015      -0.00000086
     -0.00003430      -0.00000037
     -0.00015294      -0.00000364
     -0.00024246      -0.00000965
     -0.00051805       0.00006836
     -0.00004818       0.00000024
     -0.00019356      -0.00000791
     -0.00006396       0.00000049
     -0.00002960      -0.00000003
     -0.00002679      -0.00000006
     -0.00045619       0.00001337
     -0.00006254      -0.00000173
     -0.00018634      -0.00000358
     -0.00026129       0.00003657
     -0.00124401       0.00006918
     -0.00024517       0.00000405
     -0.00016475      -0.00000591
     -0.00013082      -0.00001019
     -0.00002854       0.00000076
     -0.00001732       0.00000033
     -0.00015973      -0.00000628
     -0.00007011       0.00000664
     -0.00020533      -0.00002401
     -0.00030021      -0.00000924
     -0.00005121       0.00000037
     -0.00003363       0.00000018
     -0.00015582       0.00001504
     -0.00181030       0.00028409
     -0.00007485      -0.00000257
     -0.00043460       0.00007339
     -0.00004001       0.00000010
     -0.00023671       0.00003568
     -0.00035806      -0.00002846
     -0.00005301       0.00000228
     -0.00062603       0.00000272
     -0.00103975       0.00019032
     -0.00003255      -0.00000018
     -0.00008118       0.00000421
     -0.00006363      -0.00000170
     -0.00012206      -0.00000241
     -0.00009752      -0.00000421
     -0.00048239       0.00009567
     -0.00007859       0.00000178
     -0.00008336      -0.00000218
     -0.00002033       0.00000041
     -0.00009968      -0.00000172
     -0.00053246      -0.00001375
     -0.00115603       0.00036899
     -0.00020536       0.00001140
     -0.00147378       0.00030936
     -0.00067693       0.00015637
     -0.00007036       0.00000246
     -0.00018754       0.00001430
     -0.00010719      -0.00000047
     -0.00002269      -0.00000042
     -0.00017442       0.00001179
     -0.00004206      -0.00000158
     -0.00006409      -0.00000233
     -0.00049425       0.00008413
     -0.00002286       0.00000016
     -0.00015688      -0.00000148
     -0.00005969      -0.00000113
     -0.00003717       0.00000018
     -0.00090722       0.00020146
     -0.00003867       0.00000084
     -0.00001978      -0.00000015
     -0.00148158       0.00025641
     -0.00009842       0.00000536
     -0.00007600       0.00000391
     -0.00013917      -0.00000844
     -0.00022908      -0.00000747
     -0.00003699       0.00000157
     -0.00199824       0.00034442
     -0.00029149      -0.00000651
     -0.00067604       0.00002411
     -0.00059316       0.00007717
     -0.00011659      -0.00000361
     -0.00006725      -0.00000160
     -0.00002931       0.00000033
     -0.00004441      -0.00000054
     -0.00002185      -0.00000008
     -0.00065661       0.00011984
     -0.00010097       0.00000253
     -0.00253099       0.00065243
     -0.00014781       0.00000278
     -0.00016277      -0.00000729
     -0.00011487      -0.00000114
     -0.00003225      -0.00000011
     -0.00009601      -0.00000153
     -0.00004695       0.00000230
     -0.00019217      -0.00001080
     -0.00005574      -0.00000070
     -0.00003138       0.00000022
     -0.00019267      -0.00001648
     -0.00002711       0.00000012
     -0.00089228       0.00010686
     -0.00041140       0.00002728
     -0.00008584      -0.00000217
     -0.00014403       0.00001462
     -0.00003669       0.00000016
     -0.00093852       0.00019231
