Edrude_ind 		 Edrude_dhf
     -0.00073657       0.00003104
     -0.00014759       0.00000252
     -0.00036067       0.00001048
     -0.00079474       0.00007905
     -0.00069967       0.00004732
     -0.00013498       0.00000381
     -0.00033588       0.00001571
     -0.00064831       0.00002649
     -0.00012991       0.00000217
     -0.00031725       0.00000899
     -0.00190426      -0.00047421
     -0.00031914      -0.00002779
     -0.00086799      -0.00013962
     -0.00015334       0.00000786
     -0.00006408       0.00000212
     -0.00003027       0.00000068
     -0.00001563       0.00000025
     -0.00019007      -0.00000314
     -0.00006998      -0.00000076
     -0.00003003      -0.00000024
     -0.00001442      -0.00000009
     -0.00000099      -0.00000000
     -0.00076530       0.00009123
     -0.00020130       0.00001249
     -0.00007043       0.00000262
     -0.00002945       0.00000072
     -0.00000146       0.00000001
     -0.00023894      -0.00001735
     -0.00812154      -0.00271557
     -0.00359688      -0.00105003
     -0.00080457      -0.00011293
     -0.00008777      -0.00000380
     -0.00003742      -0.00000105
     -0.00001781      -0.00000035
     -0.00000116      -0.00000001
     -0.00008030      -0.00000135
     -0.00003398      -0.00000035
     -0.00001612      -0.00000011
     -0.00000070      -0.00000000
     -0.00008718      -0.00000307
     -0.00003596      -0.00000081
     -0.00001672      -0.00000026
     -0.00000853      -0.00000009
     -0.00000069      -0.00000000
     -0.00013087       0.00000263
     -0.00004870       0.00000041
     -0.00002121       0.00000007
     -0.00001034       0.00000001
     -0.00000075      -0.00000000
     -0.00008925       0.00000120
     -0.00003893       0.00000037
     -0.00001873       0.00000013
     -0.00000974       0.00000005
     -0.00015435      -0.00000764
     -0.00006526      -0.00000199
     -0.00003086      -0.00000063
     -0.00001590      -0.00000023
     -0.00010355       0.00000295
     -0.00004701       0.00000092
     -0.00002337       0.00000033
     -0.00001250       0.00000013
     -0.00000112       0.00000000
     -0.00150938      -0.00035111
     -0.00026517      -0.00002159
     -0.00069474      -0.00010148
     -0.00161817      -0.00028557
     -0.00023276      -0.00001261
     -0.00101810       0.00014909
     -0.00108478      -0.00014463
     -0.00018989      -0.00000804
     -0.00048766      -0.00004736
     -0.00134348      -0.00001252
     -0.00020876       0.00000239
     -0.00057227       0.00000406
     -0.00017712       0.00000900
     -0.00041083       0.00003078
     -0.00101585      -0.00016844
     -0.00020806      -0.00001348
     -0.00050314      -0.00005477
     -0.00099542       0.00009892
     -0.00060079      -0.00006227
     -0.00059569      -0.00006202
     -0.00031516       0.00000157
     -0.00038173       0.00002156
     -0.00043006       0.00003225
     -0.00037111       0.00000608
     -0.00046173       0.00003669
     -0.00045849       0.00003641
     -0.00121469       0.00015565
     -0.00042194       0.00000325
     -0.00047046      -0.00005376
     -0.00048293      -0.00005516
     -0.00176700       0.00022106
     -0.00024345       0.00001450
     -0.00041409       0.00004252
     -0.00099525       0.00011708
     -0.00333141      -0.00100065
     -0.00043816      -0.00004492
     -0.00110440      -0.00014402
     -0.00939592       0.00179227
     -0.00295190       0.00044003
     -0.00841931       0.00051213
     -0.00269826       0.00034117
     -0.00295517       0.00025668
     -0.00042754       0.00003916
     -0.00288934       0.00024713
     -0.00042036       0.00003876
     -0.00086166      -0.00006417
     -0.00017406      -0.00000561
     -0.00369594       0.00072870
     -0.00035795       0.00000851
     -0.00042541       0.00001269
     -0.00040922      -0.00001944
     -0.00091200       0.00005097
     -0.00013705       0.00000086
     -0.00038213       0.00000952
     -0.00114811      -0.00008129
     -0.00053844      -0.00000038
     -0.00120287      -0.00018025
     -0.00016016      -0.00000374
     -0.00079011       0.00007176
     -0.00131849      -0.00011247
     -0.00081248      -0.00011799
     -0.00040376       0.00002760
     -0.00069013       0.00005363
     -0.00013123       0.00000486
     -0.00033021       0.00001872
     -0.00147416      -0.00024114
     -0.00062486      -0.00006391
     -0.00132531      -0.00020252
     -0.00044809      -0.00003767
     -0.00304950      -0.00086439
     -0.00043836      -0.00004485
     -0.00143137      -0.00026306
     -0.00084606      -0.00014268
     -0.00020585      -0.00001452
     -0.00024956      -0.00001612
     -0.00089699      -0.00015039
     -0.00021178      -0.00001493
     -0.00047690      -0.00005448
     -0.00025387      -0.00001659
     -0.00070940      -0.00003252
     -0.00013638      -0.00000168
     -0.00034161      -0.00000879
     -0.00065415      -0.00003772
     -0.00011929      -0.00000186
     -0.00030629      -0.00000996
     -0.00060421       0.00000082
     -0.00011485       0.00000117
     -0.00028873       0.00000237
     -0.00051276      -0.00004458
     -0.00159340       0.00008131
